trecsQ1.txt
 -- Radiance Enhancement %
Wavelength | Impact Enhancement | Impact Error | Background Enhancement | Backgrdound Error
      15.8356         -NaN         -NaN         -NaN         -NaN
      15.8689      1.24091    0.0313282     0.961556    0.0389330
      15.9021      1.35413    0.0371515     0.953000    0.0103926
      15.9354      1.46169    0.0505514     0.950000      0.00000
      15.9687      1.42052    0.0335438      1.05225    0.0944072
      16.0019      1.66563    0.0244212     0.950000      0.00000
      16.0352      1.66852    0.0471447     0.950000      0.00000
      16.0684     0.950000      0.00000     0.955383    0.0126467
      16.1017      1.25736    0.0194970      1.16625    0.0483936
      16.1350      1.48400    0.0152802     0.951286   0.00285890
      16.1682      1.92210    0.0430000      1.03765    0.0592009
      16.2015      1.21904    0.0306044      1.14444    0.0409090
      16.2348      1.60625    0.0356421     0.995941    0.0514716
      16.2680      1.86227    0.0191543      1.24378    0.0651707
      16.3013      1.64648    0.0165272     0.950000      0.00000
      16.3345      1.17625    0.0148240      1.29140    0.0964658
      16.3678     0.966588   0.00173950     0.974949    0.0322931
      16.4011      1.29687    0.0312299      1.01310    0.0333934
      16.4343      1.29451    0.0178488      1.12585    0.0591384
      16.4676      1.73915    0.0470671      1.58509     0.203623
      16.5008      1.19960    0.0262034     0.950000      0.00000
      16.5341      71.4275      7.36132      1.69374     0.502253
      16.5674      1.52897    0.0562834     0.950000      0.00000
      16.6006      2.76153     0.193703     0.950000      0.00000
      16.6339      2.29099     0.153512      1.04538     0.137835
      16.6671      3.81368     0.100813     0.950000      0.00000
      16.7004      11.7831      1.41820     0.950000      0.00000
      16.7337     0.950000      0.00000      1.27633    0.0530017
      16.7669      1.24440    0.0266339     0.950000      0.00000
      16.8002     0.950000      0.00000      1.17497    0.0320764
      16.8335     0.950000      0.00000      1.05371     0.115725
      16.8667      1.15500   0.00864032      1.00591    0.0199434
      16.9000      1.08513    0.0112185      1.04595    0.0313093
      16.9332      1.02262   0.00656107     0.963924    0.0163213
      16.9665      1.07185   0.00706981      1.09960   0.00580057
      16.9998      1.18041    0.0134278     0.979692    0.0111635
      17.0330      1.19859    0.0108076      1.02833   0.00897605
      17.0663      1.15920   0.00875594      1.01956   0.00935103
      17.0995      1.15360    0.0106960      1.00102   0.00559747
      17.1328      1.16581    0.0135446     0.978517    0.0113679
      17.1661      1.19542    0.0144427      1.03952   0.00922176
      17.1993      1.17268    0.0108105      1.02295   0.00727205
      17.2326      1.16899    0.0118465      1.02889   0.00376961
      17.2658      1.15676    0.0112086      1.02796   0.00639641
      17.2991      1.16398    0.0119854      1.01011   0.00656572
      17.3324      1.14160    0.0121570      1.02683   0.00355919
